tmdb_id,imdb_id,tmdb_genres,imdb_genres,binary_tmdb,binary_imdb,tmdb_plot,imdb_plot,popularity,release_date,title,vote_average,vote_count
497,tt0120689,"[14, 18, 80]","[80, 18, 14, 9648]",[0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0],"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution","Death Row guards at a penitentiary, in the 1930's, have a moral dilemma with their job when they discover one of their prisoners, a convicted murderer, has a special gift.::Guy Johns",30.412384999999997,1999-12-10,The Green Mile,8.3,5365
539,tt0054215,"[18, 27, 53]","[27, 9648, 53]",[0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0],"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower","Phoenix officeworker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks and they cannot get married because Sam has to give most of his money away in alimony. One Friday Marion is trusted to bank $40,000 by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into The Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.::Col Needham ",26.847603999999997,1960-06-16,Psycho,8.3,3193
510,tt0073486,[18],[18],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched","McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse.::Jacob Oberfrank",37.793034000000006,1975-11-18,One Flew Over the Cuckoo's Nest,8.3,3803
13,tt0109830,"[35, 18, 10749]","[18, 10749]",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0],"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.::aliw135",22.452773,1994-07-06,Forrest Gump,8.3,10185
155,tt0468569,"[18, 28, 80, 53]","[28, 80, 53]",[0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0],"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker","Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.::Leon Lombardi",26.908088,2008-07-16,The Dark Knight,8.3,14338
389,tt0050083,[18],"[80, 18]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.::pjk ",22.1895,1957-03-25,12 Angry Men,8.3,2579
455661,tt6969946,"[10751, 16, 10749, 35]","[16, 10751, 10749]",[0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0],A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams,"A shy, middle school boy who struggles coming to terms with being gay, Sherwin, and the most popular boy in school, Jonathan. When their paths cross one day, Sherwin's heart pop's out of his chest to chase after the boy of his dreams. Now, Sherwin must chase after his own heart before it reveals his feelings towards Jonathan, and humiliating him in front of the entire school.::broccolicrowe",10.036833,2017-06-01,In a Heartbeat,8.3,364
339877,tt3262342,"[16, 18]","[16, 80, 18, 9648]",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0],"The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65,000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent’s brilliant paintings are his passionate and ill-fated life and mysterious death","A year after the death of the artist, Vincent van Gogh, Postman Roulin gets his slacker son, Armand, to hand deliver the artist's final letter written to his now late brother, Theo, to some worthy recipient after multiple failed postal delivery attempts. Although disdainful of this seemingly pointless chore, Armand travels to Auvers-sur-Oise where a purported close companion to Vincent, Dr. Gachet, lives. Having to wait until the doctor returns from business, Armand meets many of the people of that village who not only knew Vincent, but were apparently also models and inspirations for his art. In doing so, Armond becomes increasingly fascinated in the psyche and fate of Van Gogh as numerous suspicious details fail to add up. However, as Armond digs further, he comes to realize that Vincent's troubled life is as much a matter of interpretation as his paintings and there are no easy answers for a man whose work and tragedy would only be truly appreciated in the future.::Kenneth Chisholm (kchishol@rogers.com",13.459501000000001,2017-08-02,Loving Vincent,8.3,481
432517,tt3845892,"[18, 9648]","[80, 18, 9648]",[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0],Long buried secrets finally come to light as someone has been playing a very long game indeed. Sherlock and John face their greatest ever challenge. Is the game finally over,"Long-buried secrets finally catch up with the Baker Street duo. Someone has been playing a very long game indeed and, alone and defenseless, Sherlock and Dr Watson face their greatest ever challenge. Is the game finally over?::BBC One",7.945759,2017-01-15,Sherlock: The Final Problem,8.3,413
374430,tt3973198,"[18, 9648, 878, 53, 10770]","[18, 878, 53]",[0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1],[0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0],"In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world, but are both men who they appear to be","In a remote cabin Joe Potter reluctantly celebrates Christmas with the enigmatic Matt who starts to tell Joe about his previous jobs. In one he guided the nervous Harry into picking up the desirable Jennifer through an implant in the boy's head through which Matt shouted instructions though Matt could not foresee that it would end in disaster. As a result his wife blocked him out of her life via a device which, by pressing a button, completely obliterated the person in question. His next job involved transferring peoples' brains into tiny robotic replicas of themselves through which they could control gadgets but he could control their life span, selling them to the gaming industry. Joe then tells Matt how the love of his life, Bethany, fell pregnant but did not want the baby and blocked him before disappearing. Later, after Bethany's death, Joe sees the child but gets a shock and an even bigger one when he realizes who Matt is and what he has been sent to do. The job done, Matt is also in for an unpleasant surprise.::don @ minifie-1",7.397194,2014-12-16,Black Mirror: White Christmas,8.3,460
769,tt0099685,"[18, 80]","[80, 18]",[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway","Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?::Colin Tinto ",28.374527,1990-09-12,GoodFellas,8.3,3941
599,tt0043014,[18],[18],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity,"In Hollywood of the 50's, the obscure screenplay writer Joe Gillis is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond, who lives alone with her butler and driver Max Von Mayerling. Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was her director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer, Norma becomes jealous and completely insane and her madness leads to a tragic end.::Claudio Carvalho, Rio de Janeiro, Brazil",10.937849,1950-08-10,Sunset Boulevard,8.3,700
313106,tt2779318,"[878, 12]","[12, 18, 10751, 9648, 878]",[1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0],"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him","In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion.::BBC",6.609128999999999,2013-11-23,Doctor Who: The Day of the Doctor,8.3,372
398818,tt5726616,"[10749, 18]","[18, 10749]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0],"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man","CALL ME BY YOUR NAME, the new film by Luca Guadagnino, is a sensual and transcendent tale of first love, based on the acclaimed novel by André Aciman. It's the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17-year-old young man, spends his days in his family's 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio's sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a 24-year-old American college graduate student working on his doctorate, arrives as the annual summer intern tasked with helping Elio's father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.::Sony Pictures Classics",34.293258,2017-10-27,Call Me by Your Name,8.3,1823
1891,tt0080684,"[12, 28, 878]","[28, 12, 14, 878]",[1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0],[1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0],"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi master's help will Luke survive when the dark side of the Force beckons him into the ultimate duel with Darth Vader.::Jwelch5742",18.237907999999997,1980-05-20,The Empire Strikes Back,8.3,7374
122,tt0167260,"[12, 14, 28]","[12, 18, 14]",[1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Hobbits: Frodo and Sam reach Mordor in their quest to destroy the ""one ring"", while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.::Jwelch5742",44.893514,2003-12-01,The Lord of the Rings: The Return of the King,8.2,9730
73,tt0120586,[18],"[80, 18]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did","Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.::Nitesh D.(nmxpa7@msn.com",30.452422,1998-10-30,American History X,8.2,4025
914,tt0032553,[35],"[35, 18, 10752]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1],Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime,"20 years after the end of WWI, in which the nation of Tomainia was on the losing side, Adenoid Hynkel has risen to power as the ruthless dictator of the country. He believes in a pure Aryan state and the decimation of the Jews. This situation is unknown to a simple Jewish Tomainian barber who has been hospitalized since a WWI battle. Upon his release the barber, who had been suffering from memory loss about the war, is shown the new persecuted life of the Jews by many living in the Jewish ghetto, including a washerwoman named Hannah with whom he begins a relationship. The barber is ultimately spared such persecution by Commander Schultz, whom he saved in that WWI battle. The lives of all Jews in Tomainia are eventually spared with a policy shift by Hynkel himself, who is doing so for ulterior motives. But those motives include a desire for world domination, starting with the invasion of neighboring Osterlich, which may be threatened by Benzino Napaloni, the dictator of neighboring Bacteria. Ultimately Schultz, who has turned traitor against Hynkel's regime, and the barber may be able to join forces to take control of the situation, using Schultz's inside knowledge of the regime's workings and the barber's uncanny resemblance to one of those in power.::Huggo",18.397666,1940-10-15,The Great Dictator,8.2,982
265177,tt3612616,[18],[18],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent","Forty-six year old Diane Després - ""Die"" - has been widowed for three years. Considered white trash by many, Die does whatever she needs, including strutting her body in front of male employers who will look, to make an honest living. That bread-winning ability is affected when she makes the decision to remove her only offspring, fifteen year old Steve Després, from her previously imposed institutionalization, one step below juvenile detention. She institutionalized him shortly following her husband's death due to Steve's attention deficit hyperactivity disorder (ADHD) and his violent outbursts. He was just kicked out of the latest in a long line of facilities for setting fire to the cafeteria, in turn injuring another boy. She made this decision to deinstitutionalize him as she didn't like the alternative, sending him into more restrictive juvenile detention from which he would probably never be rehabilitated. However, with this deinstitutionalization, she has to take care of him which means only being able to do home based work. Despite they always yelling expletives at each other and Steve sometimes demonstrating those violent tendencies toward her, Die and Steve truly do love each other, his emotions which are sometimes manifested as an Oedipus complex especially as he seems to need her complete attention most specifically when it is being directed at possible male suitors. Their lives, both individually and as a family, are affected with the entrance of two of their neighbors. The first is Paul, a lawyer, who does have that sexual interest in Die as he tries to help Steve through his legal problems. The second and more important is Kyla, who lives across the street with her husband Patrick and their adolescent daughter, they who are in transit in their life to wherever Patrick's job will take them. Kyla is a high school teacher on sabbatical as she deals with her own emotional issues, which are manifested in stuttering whenever she feels incapable of dealing with her life. Kyla may find that she needs the Després as much as they need her.::Huggo",14.042214000000001,2014-05-22,Mommy,8.2,913
567,tt0047396,"[18, 9648, 53]","[9648, 53]",[0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0],"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate","Professional photographer L.B. ""Jeff"" Jefferies breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.::Col Needham ",24.104398,1954-08-01,Rear Window,8.2,1948
901,tt0021749,"[35, 18, 10749]","[35, 18, 10749]",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0],City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic,A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.::John J. Magee ,8.813985,1931-01-30,City Lights,8.2,573
431483,tt6323506,"[18, 9648, 878, 53]","[18, 9648, 878, 53]",[0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0],"The journey continues as these eight singular hearts and minds weave in and out of each other's lives finding deeper connections, learning darker secrets about one another and struggling to identify with more than just oneself","The journey continues as these eight singular hearts and minds weave in and out of each other's lives finding deeper connections, learning darker secrets about one another and struggling to identify with more than just oneself.::Netflix",5.661106,2016-12-23,Sense8: A Christmas Special,8.2,193
